`BPC`	`Business and Professions Code - BPC`
`CCP`	`Code of Civil Procedure - CCP`
`CIV`	`Civil Code - CIV`
`COM`	`Commercial Code - COM`
`CORP`	`Corporations Code - CORP`
`EDC`	`Education Code - EDC`
`ELEC`	`Elections Code - ELEC`
`EVID`	`Evidence Code - EVID`
`FAM`	`Family Code - FAM`
`FIN`	`Financial Code - FIN`
`FGC`	`Fish and Game Code - FGC`
`FAC`	`Food and Agricultural Code - FAC`
`GOV`	`Government Code - GOV`
`HNC`	`Harbors and Navigation Code - HNC`
`HSC`	`Health and Safety Code - HSC`
`INS`	`Insurance Code - INS`
`LAB`	`Labor Code - LAB`
`MVC`	`Military and Veterans Code - MVC`
`PEN`	`Penal Code - PEN`
`PROB`	`Probate Code - PROB`
`PCC`	`Public Contract Code - PCC`
`PRC`	`Public Resources Code - PRC`
`PUC`	`Public Utilities Code - PUC`
`RTC`	`Revenue and Taxation Code - RTC`
`SHC`	`Streets and Highways Code - SHC`
`UIC`	`Unemployment Insurance Code - UIC`
`VEH`	`Vehicle Code - VEH`
`WAT`	`Water Code - WAT`
`WIC`	`Welfare and Institutions Code - WIC`
`CONS`	`* California Constitution - CONS`
