1328779372insert into user_region ( user_id, region_id, region_type, updated_date) values ( '', '', '4', '2012-02-09 02:22:52')
1328991905insert into user_region ( user_id, region_id, region_type, updated_date) values ( '', '', '4', '2012-02-11 13:25:05')
1329271954insert into user_region ( user_id, region_id, region_type, updated_date) values ( '', '', '4', '2012-02-14 19:12:34')
1329283991insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '53', '1', '2012-02-14 22:33:11')
1329283991insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '54', '1', '2012-02-14 22:33:11')
1329284012insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '21', '1', '2012-02-14 22:33:32')
1329284012insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '22', '1', '2012-02-14 22:33:32')
1329284012insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '56', '1', '2012-02-14 22:33:32')
1329284227insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '53', '1', '2012-02-14 22:37:07')
1329284227insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '54', '1', '2012-02-14 22:37:07')
1329284241insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '56', '1', '2012-02-14 22:37:21')
1329284353insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '55', '1', '2012-02-14 22:39:13')
1329285103insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '54', '1', '2012-02-14 22:51:43')
1329285441insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '55', '1', '2012-02-14 22:57:21')
1329285565insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '53', '1', '2012-02-14 22:59:25')
1329285587insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '51', '1', '2012-02-14 22:59:47')
1329285587insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '41', '1', '2012-02-14 22:59:47')
1329285731insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '53', '1', '2012-02-14 23:02:11')
1329285731insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '56', '1', '2012-02-14 23:02:11')
1329286620insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '53', '1', '2012-02-14 23:17:00')
1329286620insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '55', '1', '2012-02-14 23:17:00')
1329286764insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '53', '1', '2012-02-14 23:19:24')
1329286871insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '56', '1', '2012-02-14 23:21:11')
1329286884insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '63', '1', '2012-02-14 23:21:24')
1329286884insert into user_alert ( user_id, tag_id, status, create_date) values ( '7', '64', '1', '2012-02-14 23:21:24')
